순위,관광지ID,관광지명,분류
1,ac1a2d113d34fd071f2a89b0fca4b941,묵호항,자연경관(하천/해양)
2,bdea8bb6399da11e07adcce2fcb9fdee,촛대바위,기타관광
3,4dc2c207fd84ca72a16de07cd0cc856b,망상해수욕장,자연경관(하천/해양)
4,a8429de13d8da810e4efd61209d5c03f,무릉별유천지,복합관광시설
5,344f0a9ced0c0956361a59b29b66d6f2,동해보양온천컨벤션호텔,호텔
6,3d5fb5b468324d57bdf5ff82e5a585fa,동해역,교통시설
7,3569f92f26e3051d76851e99881ea916,천곡황금박쥐동굴,자연생태
8,55844d127aecdccc4b43cbc130cc2dcd,무릉계곡,자연경관(산)
9,5652a71e743d428811dcc7c2696d41dd,망상오토캠핑리조트,캠핑
10,d5e0586a3f3f519b4c5787da4cf7d910,동해항,자연경관(하천/해양)
11,d9b1439cc97ee0e2eca965e2ef9846d2,묵호항어시장,시장
12,015176c8a8a033bdcc0cef0c8fd80ca2,동해도째비골스카이밸리,랜드마크관광
13,8724e04d2e61032f21779dfab414e7ad,북평민속시장,시장
14,8f8d5216381f4823c73f921b8be82592,동해시종합버스터미널,교통시설
15,a93384d239fd2a94306e69aacc101ecd,한섬해수욕장,자연경관(하천/해양)
16,53aacd219248d7cf0239505007f68799,추암해변,자연경관(하천/해양)
17,306aff9a5bafa76a885a8d7c0f5769a0,해랑전망대,랜드마크관광
18,a9fc21ef2caa043762ab45a686214fc5,어달해변,자연경관(하천/해양)
19,781fdeced770b66c997d9b8d7042610c,동해오션시티레지던스호텔,호텔
20,b6d3a166e0be3dcec6dd43459b788100,묵호등대,랜드마크관광
21,a4eaaa8518594b4f043e03ae438153ce,현진관광호텔,호텔
22,2b7a520794dc4c4200a19d1bf6147e84,묵호역,교통시설
23,2941d3afba743d59edf90b7ecd62f483,논골담길,기타관광
24,4b82475f9bcfcdfc5e7cd3c97a38a6cd,추암출렁다리,기타관광
25,68a3a38da83f808a8f7701ac11f51df0,뉴동해관광호텔,호텔
26,8f81c46499f11536c9577fab8ec51e41,동쪽바다중앙시장,시장
27,0a9a5ceccf5e104e4f76b89bf5ce5594,롯데시네마/동해동해,공연시설
28,28136a5ab681530ddaa0a94662e74ae4,추암오토캠핑장,캠핑
29,fba8d4fb339d49fda80d1fd31f432b82,아이체크현진호텔,모텔
30,60e9ab190add30945a0d4daff20e001a,코스모스호텔,호텔
31,cdf0b1b0c8bafec3a39e9d1802268dd2,낙산대체력단련장,육상레저스포츠
32,b0e0853aefaa6ef12cb1b18b873d7410,망상제2오토캠핑장,캠핑
33,183638ed4bc63c125afee3b93ce72b78,어달항,자연경관(하천/해양)
34,916688a0eabfa81db61c11ebe3ee9293,묵호항여객선터미널,교통시설
35,f88914ae08afded5c2f3af822e99482e,묵호시장,시장
